"","id","title","author","year","total_weeks","first_week","debut_rank","best_rank"
"236",1209,"CROWNED HEADS","Thomas Tryon",1976,14,1976-07-11,8,5
"237",121,"A GOOD WOMAN","Danielle Steel",2008,2,2008-11-16,12,5
"238",1210,"CRUCIBLE","James Rollins",2019,2,2019-02-10,16,2
"239",1211,"CRUEL & UNUSUAL","Patricia D. Cornwell",1993,12,1993-06-27,9,5
"240",1212,"CRUNCH TIME","Diane Mott Davidson",2011,1,2011-04-24,6,7
"241",1213,"CRUSADER'S CROSS","James Lee Burke",2005,2,2005-07-31,13,10
"242",1214,"CRY NO MORE","Linda Howard",2003,1,2003-11-23,2,9
"243",1215,"CRY, THE BELOVED COUNTRY","Alan Paton",1948,25,1948-02-29,5,11
"244",1216,"CRYPTONOMICON","Neal Stephenson",1999,3,1999-05-23,14,12
"245",1217,"CRYSTAL GARDENS","Amanda Quick",2012,1,2012-05-13,8,5
"246",1218,"CUBA","Stephen Coonts",1999,1,1999-08-29,14,13
"247",1219,"CUBA LIBRE","Elmore Leonard",1998,5,1998-02-08,14,8
"248",122,"A GOOD YARN","Debbie Macomber",2005,1,2005-05-15,2,14
"249",1220,"CUBA STRAITS","Randy Wayne White",2015,2,2015-04-12,10,8
"250",1221,"CUJO","Step hen King",1982,1,1982-01-24,4,8
"251",1222,"CUJO","Stephen King",1981,33,1981-08-16,6,1
"252",1223,"CURE","Robin Cook",2010,1,2010-08-29,12,14
"253",1224,"CURIOUS MINDS","Janet Evanovich and Phoef Sutton",2016,3,2016-09-04,11,3
"254",1225,"CURSE OF THE KINGS","Victoria Holt",1973,12,1973-08-19,9,7
"255",1226,"CURSED","Carol Higgins Clark",2009,2,2009-04-26,11,9
"256",1227,"CURTAIN","Agatha Christie",1975,33,1975-10-05,10,1
"257",1228,"CUT AND THRUST","Stuart Woods",2014,2,2014-08-03,12,4
"258",1229,"CUTLASS EMPIRE","F. Van Wyck Mason",1949,22,1949-03-27,5,4
"259",123,"A GOOD YEAR","Peter Mayle",2004,3,2004-06-20,6,13
"260",1230,"CYCLOPS","Clive Cussler",1986,14,1986-01-26,11,4
"261",1231,"D. C. DEAD","Stuart Woods",2012,1,2012-01-15,11,16
"262",1232,"DADDY","Danielle Steel",1989,22,1989-11-19,1,1
"263",1233,"DADDY'S GIRLS","Danielle Steel",2020,4,2020-06-28,2,5
"264",1234,"DADDY'S GONE A HUNTING","Mary Higgins Clark",2013,6,2013-04-28,3,1
"265",1235,"DADDY'S LITTLE GIRL","Mary Higgins Clark",2002,9,2002-05-05,12,1
"266",1236,"DADDY’S GIRL","Lisa Scottoline",2007,3,2007-04-01,7,3
"267",1237,"DAISY JONES & THE SIX","Taylor Jenkins Reid",2019,9,2019-03-24,13,3
"268",1238,"DAISY KENYON","Elizabeth Janeway",1945,1,1945-11-25,16,16
"269",1239,"DAISY-HEAD MAYZIE","Dr. Seuss",1995,11,1995-02-19,1,5
"270",124,"A GREAT RECKONING","Louise Penny",2016,5,2016-09-18,9,1
"271",1240,"DAMAGE","John Lescroart",2011,2,2011-01-23,6,12
"272",1241,"DAMAGE","Josephine Hart",1991,11,1991-03-31,11,5
"273",1242,"DAMAGE CONTROL","J. A. Jance",2008,2,2008-08-10,10,8
"274",1243,"DAMAGED","Lisa Scottoline",2016,2,2016-09-04,14,6
"275",1244,"DAMASCUS COUNTDOWN","Joel C. Rosenberg",2013,4,2013-03-24,6,7
"276",1245,"DAMASCUS GATE","Robert Stone",1998,4,1998-05-17,15,13
"277",1246,"DAMIA","Anne McCaffrey",1992,1,1992-08-02,10,15
"278",1247,"DAMIA'S CHILDREN","Anne McCaffrey",1993,1,1993-02-21,6,14
"279",1248,"DAMNED","Chuck Palahniuk",2011,2,2011-11-06,2,6
"280",1249,"DANCE OF DEATH","Douglas Preston and Lincoln Child",2005,4,2005-07-03,9,5
"281",125,"A GREEN DESIRE","Anton Myrer",1982,15,1982-02-07,1,3
"282",1250,"DANCE OF THE BONES","J. A. Jance",2015,1,2015-09-27,11,15
"283",1251,"DANCE WITH THE DEVIL","Kirk Douglas",1990,1,1990-08-05,11,15
"284",1252,"DANGER SIGNAL","Phyllis Bottome",1939,3,1939-02-06,5,4
"285",1253,"DANGEROUS","Diana Palmer",2010,1,2010-06-13,13,13
"286",1254,"DANGEROUS GAMES","Danielle Steel",2017,4,2017-03-26,8,1
"287",1255,"DANGEROUS KISS","Jackie Collins",1999,4,1999-06-20,1,11
"288",1256,"DANGEROUS MINDS","Janet Evanovich",2017,3,2017-07-09,2,5
"289",1257,"DANGEROUS TO KNOW","Barbara Taylor Bradford",1995,6,1995-07-30,6,9
"290",1258,"DANIEL MARTIN","John Fowles",1977,27,1977-09-25,6,4
"291",1259,"DANSE MACABRE","Laurell K. Hamilton",2006,3,2006-07-23,5,4
"292",126,"A HAPPY DEATH","Albert Camus",1972,2,1972-07-09,10,9
"293",1260,"DARK AGE","Pierce Brown",2019,1,2019-08-18,2,5
"294",1261,"DARK ANGEL","Sally Beauman",1990,1,1990-08-19,11,15
"295",1262,"DARK ASSASSIN","Anne Perry",2006,1,2006-04-16,13,15
"296",1263,"DARK BLOOD","Christine Feehan",2014,1,2014-09-21,7,12
"297",1264,"DARK CAROUSEL","Christine Feehan",2016,1,2016-08-21,1,9
"298",1265,"DARK CELEBRATION","Christine Feehan",2006,4,2006-09-24,8,3
"299",1266,"DARK CURSE","Christine Feehan",2008,3,2008-09-21,9,1
"300",1267,"DARK FORCE RISING","Timothy Zahn",1992,15,1992-06-07,14,2
"301",1268,"DARK HARBOR","Stuart Woods",2006,5,2006-04-30,1,2
"302",1269,"DARK HORSE","Fletcher Knebel",1972,19,1972-07-16,10,3
"303",127,"A HEARTBEAT AWAY","Michael Palmer",2011,2,2011-03-06,5,10
"304",1270,"DARK HORSE","Tami Hoag",2002,5,2002-09-15,14,3
"305",1271,"DARK ILLUSION","Christine Feehan",2019,1,2019-09-22,6,11
"306",1272,"DARK IN DEATH","J.D. Robb",2018,4,2018-02-18,4,1
"307",1273,"DARK JUSTICE","Jack Higgins",2004,4,2004-09-12,15,8
"308",1274,"DARK LADY","Richard North Patterson",1999,5,1999-09-12,7,6
"309",1275,"DARK LEGACY","Christine Feehan",2017,1,2017-09-24,15,9
"310",1276,"DARK LORD: THE RISE OF DARTH VADER","James Luceno",2005,2,2005-12-11,9,11
"311",1277,"DARK LYCAN","Christine Feehan",2013,1,2013-09-22,12,6
"312",1278,"DARK MATTER","Blake Crouch",2016,4,2016-08-14,5,14
"313",1279,"DARK MIRROR","Diane Duane",1993,1,1993-11-28,9,14
"314",128,"A HERO OF FRANCE","Alan Furst",2016,1,2016-06-19,6,7
"315",1280,"DARK OF NIGHT","Suzanne Brockmann",2009,1,2009-02-15,1,6
"316",1281,"DARK OF THE MOON","John Sandford",2007,5,2007-10-21,5,3
"317",1282,"DARK PERIL","Christine Feehan",2010,2,2010-09-19,1,3
"318",1283,"DARK POSSESSION","Christine Feehan",2007,4,2007-09-16,4,3
"319",1284,"DARK PREDATOR","Christine Feehan",2011,2,2011-09-25,12,3
"320",1285,"DARK PROMISES","Christine Feehan",2016,1,2016-04-03,15,9
"321",1286,"DARK RIVERS OF THE HEART","Dean Koontz",1994,10,1994-11-27,9,7
"322",1287,"DARK ROSE","Maurice Walsh",1938,1,1938-03-28,8,8
"323",1288,"DARK SACRED NIGHT","Michael Connelly",2018,9,2018-11-18,11,3
"324",1289,"DARK SENTINEL","Christine Feehan",2018,1,2018-09-23,8,8
"325",129,"A HOLOGRAM FOR THE KING","Dave Eggers",2012,1,2012-07-08,10,16
"326",1290,"DARK SIDE OF THE MOON","Sherrilyn Kenyon",2006,2,2006-06-18,7,7
"327",1291,"DARK SLAYER","Christine Feehan",2009,3,2009-09-20,6,1
"328",1292,"DARK SONG","Christine Feehan",2020,1,2020-09-20,2,15
"329",1293,"DARK STORM","Christine Feehan",2012,1,2012-10-21,5,7
"330",1294,"DARK SUMMER","Iris Johansen",2008,2,2008-11-09,1,10
"331",1295,"DARK TORT","Diane Mott Davidson",2006,4,2006-04-30,3,4
"332",1296,"DARK TRIBUTE","Iris Johansen",2019,1,2019-04-14,8,15
"333",1297,"DARK WOLF","Christine Feehan",2014,1,2014-01-26,7,3
"334",1298,"DARKER AFTER MIDNIGHT","Lara Adrian",2012,1,2012-02-12,5,9
"335",1299,"DARKNESS","John Saul",1991,4,1991-07-21,15,11
"336",13,"10 LB. PENALTY","Dick Francis",1997,7,1997-10-12,4,5
"337",130,"A HOUSE DIVIDED","Pearl S. Buck",1935,8,1935-01-28,8,4
"338",1300,"DARKSABER","Kevin J. Anderson",1995,3,1995-10-22,9,12
"339",1301,"DARTH BANE: PATH OF DESTRUCTION","Drew Karpyshyn",2006,2,2006-10-15,1,11
"340",1302,"DARTH BANE: RULE OF TWO","Drew Karpyshyn",2008,2,2008-01-13,1,12
"341",1303,"DARTH MAUL: Shadow Hunter","Michael Reaves",2001,4,2001-02-18,15,9
"342",1304,"DARTH PLAGUEIS","James Luceno",2012,2,2012-01-29,16,4
"343",1305,"DASHING THROUGH THE SNOW","Debbie Macomber",2015,1,2015-10-25,12,15
"344",1306,"DASHING THROUGH THE SNOW","Mary Higgins Clark and Carol Higgins Clark",2008,2,2008-12-07,3,9
"345",1307,"DATING GAME","Danielle Steel",2003,6,2003-03-23,10,3
"346",1308,"DAUGHTER OF FORTUNE","Isabel Allende",1999,13,1999-11-07,1,4
